osm_id,osm_type,name,highway,place,mean_dynamic_risk,max_dynamic_risk,high_or_worse_fraction,risk_category,priority
51252625,way,,secondary,,,,0.0,NO DATA,NO DATA
51252626,way,,secondary,,,,0.0,NO DATA,NO DATA
51252627,way,Kahilipara Road,secondary,,,,0.0,NO DATA,NO DATA
51252628,way,,tertiary,,,,0.0,NO DATA,NO DATA
51252630,way,Dr. RP Road,secondary,,,,0.0,NO DATA,NO DATA
52116564,way,NH40,trunk,,0.5032996322427478,0.7058346271514893,0.5714285714285714,VERY HIGH,VERY HIGH
52116566,way,,trunk,,0.5486116068703788,0.7083257436752319,0.7142857142857143,VERY HIGH,VERY HIGH
52116567,way,GS Road,trunk,,0.5566353797912598,0.6720241904258728,0.7142857142857143,VERY HIGH,VERY HIGH
52116569,way,,trunk,,0.6971471224512372,0.7666196227073669,1.0,VERY HIGH,VERY HIGH
52116570,way,,trunk,,0.45205166190862656,0.7970683574676514,0.42857142857142855,VERY HIGH,VERY HIGH
52116572,way,,trunk,,0.32168510236910414,0.5833079814910889,0.14285714285714285,HIGH,HIGH
52116578,way,,secondary,,0.30278326996735166,0.6259613633155823,0.14285714285714285,HIGH,HIGH
52116579,way,,secondary,,0.2264352451477732,0.46080589294433594,0.0,ELEVATED,MODERATE
53216590,way,Chamata Mayang Road,primary,,,,0.0,NO DATA,NO DATA
53217184,way,,tertiary,,,,0.0,NO DATA,NO DATA
97945300,way,Goalpara - Agia Road,primary,,,,0.0,NO DATA,NO DATA
97945349,way,,primary,,,,0.0,NO DATA,NO DATA
110528871,way,,secondary,,0.4995586893388203,0.7490018010139465,0.5714285714285714,VERY HIGH,VERY HIGH
110534219,way,,trunk,,0.29305445083550047,0.4513993263244629,0.0,ELEVATED,MODERATE
110534233,way,,primary,,,,0.0,NO DATA,NO DATA
110534235,way,,tertiary,,0.18199005829436438,0.3796423673629761,0.0,ELEVATED,MODERATE
110534242,way,,tertiary,,0.38149142265319824,0.5025650262832642,0.14285714285714285,HIGH,HIGH
110534249,way,,primary,,0.47212846151420046,0.8046197891235352,0.42857142857142855,EXTREME,CRITICAL
110534251,way,,primary,,0.1012260280216911,0.34463125467300415,0.0,MODERATE,LOW
110534260,way,,secondary,,0.2196848957932421,0.4295760989189148,0.0,ELEVATED,MODERATE
110534266,way,,tertiary,,0.1898621177699949,0.4005453586578369,0.0,ELEVATED,MODERATE
110534268,way,,secondary,,0.14715145554925715,0.27294889092445374,0.0,MODERATE,LOW
110534269,way,,primary,,0.15081836159030595,0.4160650670528412,0.0,ELEVATED,MODERATE
114812760,way,,primary,,0.3654892955507551,0.565894365310669,0.2857142857142857,HIGH,HIGH
114812761,way,,primary,,0.30257230571338106,0.7729137539863586,0.14285714285714285,VERY HIGH,VERY HIGH
114812767,way,,primary,,0.23160872235894203,0.5297848582267761,0.2857142857142857,HIGH,HIGH
114812774,way,,primary,,0.32433786668947767,0.5522693395614624,0.2857142857142857,HIGH,HIGH
114812779,way,,primary,,0.4771354539053781,0.7178136706352234,0.42857142857142855,VERY HIGH,VERY HIGH
114812785,way,,primary,,0.3646289323057447,0.5639382600784302,0.2857142857142857,HIGH,HIGH
114812787,way,,primary,,0.39338403408016476,0.6714786887168884,0.42857142857142855,VERY HIGH,VERY HIGH
114812795,way,,primary,,0.18382628155606134,0.3533836007118225,0.0,ELEVATED,MODERATE
118192503,way,,trunk,,0.345786132982799,0.4057638347148895,0.0,ELEVATED,MODERATE
118192504,way,,trunk,,0.35021049210003447,0.4289536476135254,0.0,ELEVATED,MODERATE
118192505,way,,tertiary,,0.17584196371691568,0.40743035078048706,0.0,ELEVATED,MODERATE
118192506,way,,trunk,,0.35377776409898487,0.5510873198509216,0.14285714285714285,HIGH,HIGH
118192526,way,,trunk,,0.20681923627853394,0.34201449155807495,0.0,MODERATE,LOW
118192527,way,,trunk,,0.3155639533485685,0.48978620767593384,0.0,ELEVATED,MODERATE
118192529,way,,trunk,,0.4257785167012896,0.8984323740005493,0.2857142857142857,EXTREME,CRITICAL
118192550,way,,trunk,,,,0.0,NO DATA,NO DATA
118192567,way,,trunk,,0.1659469742860113,0.29709550738334656,0.0,MODERATE,LOW
118192568,way,,trunk,,0.10103793548686164,0.1779295653104782,0.0,LOW,LOW
118192573,way,,trunk,,0.2960952882255827,0.49703437089920044,0.0,ELEVATED,MODERATE
118192580,way,,trunk,,0.39162510207721163,0.5942627191543579,0.2857142857142857,HIGH,HIGH
118192598,way,,trunk,,0.2014648744038173,0.31348758935928345,0.0,MODERATE,LOW
118192602,way,,trunk,,0.39129348524979185,0.6028316020965576,0.14285714285714285,HIGH,HIGH
118192606,way,,trunk,,0.2723750333700861,0.4508819580078125,0.0,ELEVATED,MODERATE
118192607,way,,trunk,,0.25860646473509924,0.6356199979782104,0.14285714285714285,HIGH,HIGH
118192618,way,,tertiary,,0.19460215738841466,0.28436124324798584,0.0,MODERATE,LOW
118192619,way,,tertiary,,0.5084933042526245,0.769264817237854,0.5714285714285714,VERY HIGH,HIGH
118192620,way,,secondary,,0.17062800803354808,0.246040940284729,0.0,MODERATE,LOW
118192621,way,,tertiary,,0.2946883291006088,0.5942780375480652,0.2857142857142857,HIGH,HIGH
118192622,way,,tertiary,,0.2604227662086487,0.2604227662086487,0.0,MODERATE,LOW
118192623,way,,tertiary,,0.2541604978697641,0.3606940805912018,0.0,ELEVATED,MODERATE
118192624,way,,unclassified,,0.11540288903883525,0.1561337411403656,0.0,LOW,LOW
118192625,way,,tertiary,,0.3214740923472813,0.5677705407142639,0.14285714285714285,HIGH,HIGH
118192643,way,,tertiary,,0.283635030899729,0.504031240940094,0.14285714285714285,HIGH,HIGH
118192647,way,,tertiary,,0.2033055637563978,0.5292592644691467,0.14285714285714285,HIGH,HIGH
118192649,way,,trunk,,0.2825767972639629,0.40743035078048706,0.0,ELEVATED,MODERATE
118192650,way,Tura Road,secondary,,0.22186380411897386,0.3495081067085266,0.0,MODERATE,LOW
120130506,way,Kalaguru Bishnu Rabha Path / Hockey Stadium Rd,tertiary,,,,0.0,NO DATA,NO DATA
120130535,way,Bishnu Rabha Path,tertiary,,,,0.0,NO DATA,NO DATA
120487460,way,Jayanagar Road,tertiary,,,,0.0,NO DATA,NO DATA
120947421,way,,trunk,,,,0.0,NO DATA,NO DATA
121977696,way,NH6,trunk,,0.4055011676890509,0.5309279561042786,0.14285714285714285,HIGH,HIGH
122008098,way,,tertiary,,,,0.0,NO DATA,NO DATA
122008106,way,,tertiary,,,,0.0,NO DATA,NO DATA
122026615,way,,tertiary,,,,0.0,NO DATA,NO DATA
122026680,way,,tertiary,,,,0.0,NO DATA,NO DATA
122026682,way,,unclassified,,,,0.0,NO DATA,NO DATA
122026693,way,,unclassified,,,,0.0,NO DATA,NO DATA
122026724,way,,tertiary,,,,0.0,NO DATA,NO DATA
122030738,way,,tertiary,,,,0.0,NO DATA,NO DATA
122030739,way,Hengerabari Rd,tertiary,,,,0.0,NO DATA,NO DATA
122030746,way,,tertiary,,,,0.0,NO DATA,NO DATA
122030750,way,,tertiary,,,,0.0,NO DATA,NO DATA
122030763,way,,unclassified,,,,0.0,NO DATA,NO DATA
122031554,way,Lal Ganesh Road,secondary,,,,0.0,NO DATA,NO DATA
122093008,way,Laitumkhrah Main Road,tertiary,,0.34336575865745544,0.4980045557022095,0.0,ELEVATED,MODERATE
122093609,way,,tertiary,,0.24183130264282227,0.27650541067123413,0.0,MODERATE,LOW
122094414,way,,trunk,,0.5095441596848624,0.6016133427619934,0.5714285714285714,HIGH,HIGH
122094926,way,,unclassified,,0.3626819040094103,0.43443429470062256,0.0,ELEVATED,MODERATE
122094967,way,,tertiary,,0.4906113828931536,0.6550507545471191,0.5714285714285714,VERY HIGH,HIGH
122416174,way,,tertiary,,0.35183352870600565,0.5270828604698181,0.14285714285714285,HIGH,HIGH
122524377,way,,tertiary,,0.36492412430899485,0.5577200651168823,0.14285714285714285,HIGH,HIGH
123334269,way,,tertiary,,0.4645700284412929,0.7828553915023804,0.5714285714285714,VERY HIGH,HIGH
123554671,way,Red Hill Road,tertiary,,0.27593774454934256,0.36774206161499023,0.0,ELEVATED,MODERATE
123557265,way,,tertiary,,0.40779752816472736,0.5547796487808228,0.42857142857142855,HIGH,HIGH
123891682,way,Dharapur Village Road,unclassified,,,,0.0,NO DATA,NO DATA
123891692,way,,tertiary,,,,0.0,NO DATA,NO DATA
123891695,way,,tertiary,,,,0.0,NO DATA,NO DATA
123891708,way,,secondary,,,,0.0,NO DATA,NO DATA
123891716,way,,tertiary,,,,0.0,NO DATA,NO DATA
131381333,way,,tertiary,,0.31468027191502707,0.5382546782493591,0.14285714285714285,HIGH,HIGH
131388615,way,,tertiary,,0.4230610451528004,0.5493281483650208,0.42857142857142855,HIGH,HIGH
131388673,way,Sacred Heart Road,tertiary,,0.34006080457142424,0.501258373260498,0.14285714285714285,HIGH,HIGH
131472675,way,,tertiary,,0.42014538390295847,0.5609877705574036,0.14285714285714285,HIGH,HIGH
131480123,way,,tertiary,,0.33561154561383383,0.4513993263244629,0.0,ELEVATED,MODERATE
131515345,way,,tertiary,,0.3539694568940571,0.470150887966156,0.0,ELEVATED,MODERATE
131648197,way,,trunk,,0.4906714643750872,0.5599744915962219,0.7142857142857143,HIGH,HIGH
131648686,way,,unclassified,,0.5635133470807757,0.5974560976028442,1.0,HIGH,HIGH
131648878,way,,tertiary,,0.37305473004068646,0.4684312045574188,0.0,ELEVATED,MODERATE
131649054,way,,tertiary,,0.3698463227067675,0.5692794322967529,0.2857142857142857,HIGH,HIGH
131654978,way,,tertiary,,0.47902130654879976,0.6434319615364075,0.42857142857142855,HIGH,HIGH
131754623,way,,secondary,,,,0.0,NO DATA,NO DATA
131754630,way,,primary,,,,0.0,NO DATA,NO DATA
131754632,way,,primary,,,,0.0,NO DATA,NO DATA
132242412,way,,trunk,,0.3644032542194639,0.4283128082752228,0.0,ELEVATED,MODERATE
132242413,way,,trunk,,0.5107370827879224,0.6648685932159424,0.42857142857142855,VERY HIGH,VERY HIGH
132319025,way,,tertiary,,0.5765724309853145,0.6462727785110474,0.7142857142857143,HIGH,HIGH
132319027,way,,tertiary,,0.6462727785110474,0.6462727785110474,1.0,HIGH,HIGH
133753814,way,মধ্যবাজার প্রধান সড়ক,secondary,,0.007461771385611168,0.014619404450058937,0.0,LOW,LOW
133755842,way,,trunk,,0.2581890236054148,0.4639298617839813,0.0,ELEVATED,MODERATE
133806461,way,,secondary,,0.02417510561645031,0.04650500789284706,0.0,LOW,LOW
136295996,way,,primary,,0.02827553730458021,0.03686857223510742,0.0,LOW,LOW
158014340,way,,secondary,,,,0.0,NO DATA,NO DATA
158014341,way,Dharapur-Palashbari Road,secondary,,,,0.0,NO DATA,NO DATA
160502735,way,,tertiary,,0.004226785618811846,0.004226785618811846,0.0,LOW,LOW
160725357,way,,secondary,,0.030813092986742657,0.059410739690065384,0.0,LOW,LOW
160725370,way,Tarakanda - Dhobaura Road,secondary,,0.01162775163538754,0.015893181785941124,0.0,LOW,LOW
160894539,way,,trunk,,0.4228375532797405,0.6581622958183289,0.42857142857142855,VERY HIGH,VERY HIGH
160894540,way,,trunk,,0.4903045083795275,0.6113682389259338,0.42857142857142855,HIGH,HIGH
160901046,way,,tertiary,,0.4921018310955593,0.6435714960098267,0.42857142857142855,HIGH,HIGH
164431794,way,,trunk,,0.013678422896191478,0.05840395763516426,0.0,LOW,LOW
164431795,way,,secondary,,0.011737080536217295,0.03440689295530319,0.0,LOW,LOW
164431796,way,,secondary,,0.006044861943727093,0.019469192251563072,0.0,LOW,LOW
164431797,way,,trunk,,0.03589461424521038,0.0714309811592102,0.0,LOW,LOW
164431798,way,,trunk,,0.028781343983220204,0.09330499917268753,0.0,LOW,LOW
164431800,way,,trunk,,0.017574395186134746,0.03658793494105339,0.0,LOW,LOW
164431801,way,,trunk,,0.013455850471343313,0.02629154734313488,0.0,LOW,LOW
164431802,way,,trunk,,0.040471101977995465,0.0714309811592102,0.0,LOW,LOW
164431803,way,,secondary,,0.026175724808126688,0.06481966376304626,0.0,LOW,LOW
164431804,way,,trunk,,0.07849188148975372,0.10394836962223053,0.0,LOW,LOW
164431805,way,,trunk,,0.024280417577496598,0.06356396526098251,0.0,LOW,LOW
164431807,way,,trunk,,0.03016890399158001,0.03770535811781883,0.0,LOW,LOW
164431808,way,,trunk,,0.014055213292262383,0.022520536556839943,0.0,LOW,LOW
164431809,way,,trunk,,0.031156328107629503,0.03821541741490364,0.0,LOW,LOW
164431810,way,,trunk,,0.05164642898099763,0.0741259828209877,0.0,LOW,LOW
164431811,way,,trunk,,0.017365445981600454,0.02272038348019123,0.0,LOW,LOW
164431812,way,Sylhet - Tamabil Highway,trunk,,0.1443813436531595,0.3154642581939697,0.0,MODERATE,LOW
164431813,way,,trunk,,0.029538474112216915,0.0741259828209877,0.0,LOW,LOW
164431814,way,,trunk,,0.012474871697902148,0.03033467009663582,0.0,LOW,LOW
164431815,way,,trunk,,0.03306277422234416,0.15050028264522552,0.0,LOW,LOW
164431816,way,,trunk,,0.016278725317014114,0.03034035861492157,0.0,LOW,LOW
164431817,way,,secondary,,0.010453674676162856,0.02678258717060089,0.0,LOW,LOW
164431818,way,Tamabil - Jaflong Road,trunk,,0.033672526911167164,0.07770895957946777,0.0,LOW,LOW
169360195,way,,tertiary,,0.025072438841951743,0.04994732886552811,0.0,LOW,LOW
169974154,way,,tertiary,,0.493182578257152,0.7267259359359741,0.42857142857142855,VERY HIGH,HIGH
169992157,way,,trunk,,0.40828212244170053,0.6450989246368408,0.2857142857142857,HIGH,HIGH
169992158,way,,trunk,,0.5322405738489968,0.770136833190918,0.5714285714285714,VERY HIGH,VERY HIGH
169992161,way,,tertiary,,0.10905278740184647,0.22142599523067474,0.0,MODERATE,LOW
169992163,way,,tertiary,,,,0.0,NO DATA,NO DATA
169992166,way,,unclassified,,0.15984647082430975,0.25352734327316284,0.0,MODERATE,LOW
169992167,way,,unclassified,,0.1402512299163001,0.1775236576795578,0.0,LOW,LOW
169992168,way,,tertiary,,0.167871783886637,0.333682119846344,0.0,MODERATE,LOW
169997693,way,Tura Road,secondary,,0.17450399696826935,0.5818874835968018,0.14285714285714285,HIGH,HIGH
170002935,way,Tura Road,primary,,0.3048768618277141,0.43995603919029236,0.0,ELEVATED,MODERATE
170018579,way,,secondary,,,,0.0,NO DATA,NO DATA
184479349,way,,secondary,,,,0.0,NO DATA,NO DATA
184479398,way,,secondary,,,,0.0,NO DATA,NO DATA
193281890,way,,secondary,,,,0.0,NO DATA,NO DATA
193281895,way,,trunk,,,,0.0,NO DATA,NO DATA
193281896,way,,trunk,,,,0.0,NO DATA,NO DATA
193281900,way,,tertiary,,,,0.0,NO DATA,NO DATA
193281906,way,,tertiary,,0.004610945121385157,0.010789286345243454,0.0,LOW,LOW
193281916,way,,secondary,,,,0.0,NO DATA,NO DATA
193281917,way,,unclassified,,,,0.0,NO DATA,NO DATA
218086294,way,,primary,,0.019217166258022188,0.0600019134581089,0.0,LOW,LOW
218461523,way,Sherpur - Mymensingh Highway,primary,,0.0015974999405443668,0.0015974999405443668,0.0,LOW,LOW
218462832,way,,unclassified,,0.010018069929044162,0.03360119089484215,0.0,LOW,LOW
