osm_id,osm_type,name,highway,place,dynamic_risk,risk_category,priority
12216959854,node,Paschim Bāndarkhāl,,hamlet,0.2530653774738312,MODERATE,LOW
12216959855,node,Bāndarkhāl,,hamlet,0.07968848943710327,LOW,LOW
12216959857,node,Dālung Basti,,hamlet,0.3706969618797302,ELEVATED,MODERATE
12216959858,node,Durbintola,,hamlet,0.46575644612312317,ELEVATED,MODERATE
12216959859,node,Durgāchhara,,hamlet,0.24643205106258392,MODERATE,LOW
12216959860,node,Tibong,,hamlet,0.19546085596084595,LOW,LOW
12216959861,node,New Jātinga,,hamlet,0.013376488350331783,LOW,LOW
12243694657,node,Tolegre,,village,0.10248372703790665,LOW,LOW
12279692850,node,Miklipārā,,hamlet,0.4259883761405945,ELEVATED,MODERATE
12279692856,node,Craigpark,,hamlet,,NO DATA,NO DATA
12375834698,node,Tibong Cherra,,village,0.24596244096755981,MODERATE,LOW
12450410523,node,Mawtangor,,village,0.14201857149600983,LOW,LOW
12450458134,node,Mawsdei Village,,village,0.5912156105041504,HIGH,HIGH
12462561138,node,Umwai,,hamlet,0.3810705840587616,ELEVATED,MODERATE
12462563220,node,Pombut,,village,0.40228506922721863,ELEVATED,MODERATE
12465317247,node,Umsaw Myllium,,village,0.3093765079975128,MODERATE,LOW
12875788253,node,Jemānāi,,hamlet,,NO DATA,NO DATA
12875788254,node,Bleshāh,,hamlet,,NO DATA,NO DATA
12875788255,node,Bleshāh,,hamlet,,NO DATA,NO DATA
12875788256,node,Umden,,village,,NO DATA,NO DATA
12875788257,node,Nepāli Khunti,,hamlet,,NO DATA,NO DATA
12875788258,node,Māwlong,,hamlet,,NO DATA,NO DATA
12875788259,node,Umkon,,hamlet,,NO DATA,NO DATA
12875788260,node,Sohkhār,,hamlet,,NO DATA,NO DATA
13237964698,node,Doripara,,village,0.010359374806284904,LOW,LOW
13365850282,node,চর ভূরুঙ্গামারী,,village,,NO DATA,NO DATA
13365850496,node,বলদিয়া,,village,,NO DATA,NO DATA
