date,rainfall_mean_mm,rainfall_max_mm,rainfall_1d,rainfall_3d,rainfall_7d,rainfall_15d,rainfall_30d,year
2015-01-01,0.24155287,2.4544382,0.24155287,,,,,2015
2015-01-02,0.0,0.0,0.0,,,,,2015
2015-01-03,1.9714295,8.636189,1.9714295,2.212982341647148,,,,2015
2015-01-04,5.2243023,25.017937,5.2243023,7.19573175907135,,,,2015
2015-01-05,5.071248,13.689847,5.071248,12.266979813575745,,,,2015
2015-01-06,0.5539324,6.227503,0.5539324,10.849482774734497,,,,2015
2015-01-07,0.0,0.0,0.0,5.62518048286438,13.062465116381645,,,2015
2015-01-08,0.22617023,1.913447,0.22617023,0.7801026552915573,13.047082468867302,,,2015
2015-01-09,3.710469,14.703582,3.710469,3.9366392344236374,16.757551476359367,,,2015
2015-01-10,0.2627486,2.0599017,0.2627486,4.199387833476067,15.048870608210564,,,2015
2015-01-11,0.0,0.0,0.0,3.9732176065444946,9.824568316340446,,,2015
2015-01-12,0.0,0.0,0.0,0.2627485990524292,4.753320261836052,,,2015
2015-01-13,0.0,0.0,0.0,0.0,4.199387833476067,,,2015
2015-01-14,0.0,0.0,0.0,0.0,4.199387833476067,,,2015
2015-01-15,0.0,0.0,0.0,0.0,3.9732176065444946,17.261852949857712,,2015
2015-01-16,0.0,0.0,0.0,0.0,0.2627485990524292,17.020300075411797,,2015
2015-01-17,0.0,0.0,0.0,0.0,0.0,17.020300075411797,,2015
2015-01-18,1.7590697,14.749036,1.7590697,1.7590696811676025,1.7590696811676025,16.807940289378166,,2015
2015-01-19,0.0,0.0,0.0,1.7590696811676025,1.7590696811676025,11.583637997508049,,2015
2015-01-20,0.41772252,4.6111107,0.41772252,2.1767922043800354,2.1767922043800354,6.930112466216087,,2015
2015-01-21,0.0,0.0,0.0,0.41772252321243286,2.1767922043800354,6.376180037856102,,2015
2015-01-22,0.0,0.0,0.0,0.41772252321243286,2.1767922043800354,6.376180037856102,,2015
2015-01-23,0.0,0.0,0.0,0.0,2.1767922043800354,6.15000981092453,,2015
2015-01-24,0.0,0.0,0.0,0.0,2.1767922043800354,2.4395408034324646,,2015
2015-01-25,0.0,0.0,0.0,0.0,0.41772252321243286,2.1767922043800354,,2015
2015-01-26,0.0,0.0,0.0,0.0,0.41772252321243286,2.1767922043800354,,2015
2015-01-27,0.0,0.0,0.0,0.0,0.0,2.1767922043800354,,2015
2015-01-28,0.0,0.0,0.0,0.0,0.0,2.1767922043800354,,2015
2015-01-29,0.0,0.0,0.0,0.0,0.0,2.1767922043800354,,2015
2015-01-30,0.8452206,4.4422145,0.8452206,0.8452206254005432,0.8452206254005432,3.0220128297805786,20.28386577963829,2015
2015-01-31,0.0,0.0,0.0,0.8452206254005432,0.8452206254005432,3.0220128297805786,20.042312905192375,2015
2015-02-01,0.0,0.0,0.0,0.8452206254005432,0.8452206254005432,3.0220128297805786,20.042312905192375,2015
2015-02-02,0.0,0.0,0.0,0.0,0.8452206254005432,1.262943148612976,18.070883437991142,2015
2015-02-03,0.0,0.0,0.0,0.0,0.8452206254005432,1.262943148612976,12.846581146121025,2015
2015-02-04,0.0,0.0,0.0,0.0,0.8452206254005432,0.8452206254005432,7.7753330916166306,2015
2015-02-05,0.0,0.0,0.0,0.0,0.8452206254005432,0.8452206254005432,7.221400663256645,2015
2015-02-06,0.0,0.0,0.0,0.0,0.0,0.8452206254005432,7.221400663256645,2015
2015-02-07,0.0,0.0,0.0,0.0,0.0,0.8452206254005432,6.995230436325073,2015
2015-02-08,0.0,0.0,0.0,0.0,0.0,0.8452206254005432,3.284761428833008,2015
2015-02-09,0.0,0.0,0.0,0.0,0.0,0.8452206254005432,3.0220128297805786,2015
2015-02-10,0.0,0.0,0.0,0.0,0.0,0.8452206254005432,3.0220128297805786,2015
2015-02-11,0.0,0.0,0.0,0.0,0.0,0.8452206254005432,3.0220128297805786,2015
2015-02-12,0.0,0.0,0.0,0.0,0.0,0.8452206254005432,3.0220128297805786,2015
2015-02-13,0.0684481,1.3697733,0.0684481,0.06844809651374817,0.06844809651374817,0.9136687219142914,3.090460926294327,2015
2015-02-14,0.28069934,1.6822624,0.28069934,0.3491474390029907,0.3491474390029907,0.3491474390029907,3.3711602687835693,2015
2015-02-15,0.013134221,0.2414218,0.013134221,0.36228165961802006,0.36228165961802006,0.36228165961802006,3.3842944893985987,2015
2015-02-16,0.41189164,5.282761,0.41189164,0.7057252023369074,0.7741732988506556,0.7741732988506556,3.796186128631234,2015
2015-02-17,0.0,0.0,0.0,0.42502585984766483,0.7741732988506556,0.7741732988506556,2.0371164474636316,2015
2015-02-18,0.0,0.0,0.0,0.4118916392326355,0.7741732988506556,0.7741732988506556,2.0371164474636316,2015
2015-02-19,1.9948504,10.348991,1.9948504,1.9948503971099854,2.769023695960641,2.769023695960641,3.614244321361184,2015
2015-02-20,1.0454066,6.4142685,1.0454066,3.040256977081299,3.745982179418206,3.8144302759319544,4.659650901332498,2015
2015-02-21,0.0,0.0,0.0,3.040256977081299,3.4652828369289637,3.8144302759319544,4.659650901332498,2015
2015-02-22,1.2964544,9.507486,1.2964544,2.3418610095977783,4.748603045940399,5.110884705558419,5.956105330958962,2015
2015-02-23,0.0,0.0,0.0,1.2964544296264648,4.336711406707764,5.110884705558419,5.956105330958962,2015
2015-02-24,0.00768833,0.17165847,0.00768833,1.3041427596472204,4.344399736728519,5.118573035579175,5.963793660979718,2015
2015-02-25,0.0,0.0,0.0,0.007688330020755529,4.344399736728519,5.118573035579175,5.963793660979718,2015
2015-02-26,0.2823507,3.312318,0.2823507,0.2900390191935003,2.6319000287912786,5.4009237247519195,6.246144350152463,2015
2015-02-27,10.750697,20.43135,10.750697,11.033047825098038,12.337190584745258,16.151620860677212,16.996841486077756,2015
2015-02-28,0.0,0.0,0.0,11.033047825098038,12.337190584745258,16.083172764163464,16.996841486077756,2015
2015-03-01,0.18357594,2.491789,0.18357594,10.934273079037666,11.224312098231167,15.986049364786595,16.335196803789586,2015
2015-03-02,0.0,0.0,0.0,0.18357594311237335,11.224312098231167,15.972915144171566,16.335196803789586,2015
2015-03-03,0.16522433,1.2675642,0.16522433,0.34880027174949646,11.381848096847534,15.726247833576053,16.50042113242671,2015
2015-03-04,0.96211797,7.702725,0.96211797,1.1273422986268997,12.34396606683731,16.68836580356583,17.462539102416486,2015
2015-03-05,0.61981905,2.7758904,0.61981905,1.7471613436937332,12.6814344227314,17.308184848632663,18.08235814748332,2015
2015-03-06,0.0,0.0,0.0,1.58193701505661,1.9307372868061066,15.313334451522678,18.08235814748332,2015
