model,accuracy,precision,recall,f1,roc_auc,pr_auc
Logistic Regression,0.7306501547987616,0.697841726618705,0.6830985915492958,0.6903914590747331,0.8139833475994086,0.7053984933679136
Random Forest,0.7151702786377709,0.6506024096385542,0.7605633802816901,0.7012987012987013,0.8119601587425104,0.7591867769738943
