elevation,slope,aspect,curvature,landcover_class,latitude,longitude,district,initiation_year,triggering,label
70.65987396240234,13.24046802520752,71.88980102539062,0.001496069598942995,10,25.23908,90.63944,South Garo hills,0,,1
628.2529296875,13.697164535522461,343.68621826171875,0.0010323612950742245,10,25.39466,90.69083,South Garo hills,0,Anthropogenic,1
366.7585144042969,4.087762832641602,130.64268493652344,-0.002987729385495186,10,25.512611,90.658611,East Garo hills,0,Anthropogenic/a Rainfall,1
353.00897216796875,9.129249572753906,66.06942749023438,-0.004333570599555969,10,25.50781,90.68,East Garo hills,0,Anthropogenic,1
244.27560424804688,0.8965144753456116,262.51953125,0.0006382898427546024,10,25.5014,90.68972,East Garo hills,0,Rainfall,1
682.34765625,19.763484954833984,215.34474182128906,-0.002944334875792265,10,25.56,90.37,West Garo Hills,2019,Rainfall,1
759.6993408203125,18.080867767333984,170.11834716796875,-0.014568015933036804,10,25.56,90.34,West Garo Hills,0,Rainfall,1
743.4088134765625,2.6496574878692627,137.1605224609375,0.001130197779275477,10,25.55,90.33,West Garo Hills,2019,Rainfall,1
266.5835266113281,16.002254486083984,242.90322875976562,-0.004191399551928043,10,25.51,90.21,West Garo Hills,2019,Rainfall,1
321.8392028808594,13.365655899047852,161.21035766601562,-0.0005205244524404407,50,25.51028,90.21678, West Garo Hills,0,,1
204.35336303710938,5.891050338745117,359.60699462890625,0.005006030201911926,10,25.5,90.21,West Garo Hills,0,Rainfall,1
400.6390686035156,15.040796279907227,11.011598587036133,-0.0027613346464931965,10,25.5,90.22,West Garo Hills,2019,Rainfall,1
400.6390686035156,15.040796279907227,11.011598587036133,-0.0027613346464931965,10,25.5,90.22,West Garo Hills,0,Rainfall,1
400.6390686035156,15.040796279907227,11.011598587036133,-0.0027613346464931965,10,25.5,90.22,West Garo Hills,2019,Rainfall,1
41.29448699951172,6.68940544128418,15.141792297363281,0.004161315970122814,40,25.25419,90.21486, West Garo Hills,0,,1
64.22357177734375,5.62056303024292,163.557861328125,0.0021832233760505915,10,25.53,89.98,West Garo Hills,2019,Rainfall,1
64.22357177734375,5.62056303024292,163.557861328125,0.0021832233760505915,10,25.53,89.98,West Garo Hills,2019,Rainfall,1
40.752593994140625,10.787123680114746,271.3457336425781,0.00033872545463964343,10,25.57,89.98,West Garo Hills,0,Rainfall,1
38.74216079711914,8.324657440185547,280.10943603515625,-0.0008912240155041218,10,25.58,89.99,West Garo Hills,0,Rainfall,1
75.44096374511719,6.703003406524658,61.07371139526367,-0.0014581645373255014,10,25.6,90.03,West Garo Hills,2019,Rainfall,1
302.6224670410156,12.624401092529297,343.795166015625,0.0015931640518829226,10,25.67,90.18,West Garo Hills,0,Rainfall,1
601.9503784179688,18.18634796142578,220.94676208496094,0.0030443398281931877,10,25.6,90.29,West Garo Hills,0,Rainfall,1
566.7981567382812,10.837244033813477,185.38877868652344,0.001732013770379126,10,25.61,90.29,West Garo Hills,0,Rainfall,1
566.7981567382812,10.837244033813477,185.38877868652344,0.001732013770379126,10,25.61,90.29,West Garo Hills,2019,Rainfall,1
566.7981567382812,10.837244033813477,185.38877868652344,0.001732013770379126,10,25.61,90.29,West Garo Hills,2019,Rainfall,1
566.7981567382812,10.837244033813477,185.38877868652344,0.001732013770379126,10,25.61,90.29,West Garo Hills,0,Rainfall,1
691.63427734375,10.870635032653809,352.19097900390625,0.004305620677769184,10,25.61,90.3,West Garo Hills,0,Rainfall,1
676.9484252929688,9.134825706481934,326.61376953125,-0.0008756415918469429,10,25.61,90.31,West Garo Hills,0,Rainfall,1
673.3734130859375,2.760753631591797,282.1333923339844,0.006246850360184908,10,25.62,90.33,West Garo Hills,0,Rainfall,1
640.94482421875,5.9552178382873535,272.35760498046875,0.006838043220341206,30,25.63,90.33,West Garo Hills,0,Anthropogenic,1
640.94482421875,5.9552178382873535,272.35760498046875,0.006838043220341206,30,25.63,90.33,West Garo Hills,0,Anthropogenic,1
503.784423828125,5.540007591247559,116.21418762207031,0.0026673823595046997,10,25.65,90.38,West Garo Hills,0,Rainfall,1
503.784423828125,5.540007591247559,116.21418762207031,0.0026673823595046997,10,25.65,90.38,West Garo Hills,0,Rainfall,1
503.784423828125,5.540007591247559,116.21418762207031,0.0026673823595046997,10,25.65,90.38,West Garo Hills,2019,Rainfall,1
202.2793426513672,9.330829620361328,338.8109436035156,-0.004161337856203318,10,25.79,90.44,West Garo Hills,2019,Rainfall,1
82.40389251708984,6.5007710456848145,266.26788330078125,-0.002675301395356655,50,26.086389,91.879083,Ri-Bhoi,0,,1
225.25033569335938,18.279054641723633,281.2760925292969,-0.005745996721088886,10,26.075944,91.820806,Ri-Bhoi,0,,1
97.8165512084961,11.689658164978027,152.61016845703125,0.007311919238418341,10,26.022094,91.832906,Ri-Bhoi,0,,1
341.80548095703125,28.985824584960938,308.9930725097656,-0.004123576916754246,10,26.01061,91.86886,Ri-Bhoi,0,,1
182.3314666748047,7.251070022583008,101.42485809326172,-0.005583977326750755,10,26.02547,91.87158,Ri-Bhoi,0,,1
155.9130401611328,14.529767036437988,174.195556640625,-0.001328436890617013,10,26.02897,91.87197,Ri-Bhoi,0,,1
114.05350494384766,15.149109840393066,83.67069244384766,-0.003350541228428483,10,26.033583,91.867083,Ri-Bhoi,0,,1
88.06273651123047,24.113080978393555,351.2027893066406,-0.003950173035264015,10,26.027583,91.886556,Ri-Bhoi,0,,1
82.47457885742188,26.183984756469727,59.656219482421875,0.005013270769268274,10,26.027028,91.88175,Ri-Bhoi,0,,1
210.2955780029297,17.527055740356445,66.2102279663086,-0.006864379160106182,10,26.007083,91.909806,Ri-Bhoi,0,,1
236.36268615722656,21.0208683013916,331.80072021484375,0.00010573166218819097,10,26.032028,91.989528,Ri-Bhoi,0,,1
597.0316772460938,28.32585334777832,173.40155029296875,0.004433748312294483,30,25.970062,92.054889,Ri-Bhoi,2015,Heavy rainfall,1
603.7285766601562,27.99785041809082,169.7742919921875,6.05718232691288e-05,30,25.970032,92.056762,Ri-Bhoi,2015,Heavy rainfall,1
397.02447509765625,12.768940925598145,163.2456817626953,0.008266154676675797,10,25.982436,92.057405,Ri-Bhoi,2015,Heavy rainfall,1
754.6765747070312,7.672765254974365,112.10294342041016,0.009745858609676361,10,25.874293,92.018322,Ri-Bhoi,2015,Heavy rainfall,1
669.8466796875,19.856800079345703,111.22709655761719,-0.0018924736650660634,10,25.86575,92.153286,Ri-Bhoi,2015,Heavy rainfall,1
815.92138671875,25.410511016845703,139.54800415039062,0.002045915462076664,10,25.796657,92.143462,Ri-Bhoi,2015,Heavy rainfall,1
863.31689453125,14.425196647644043,176.65576171875,0.0029056346975266933,10,25.747333,92.117333,East Khasi Hills,0,Rainfall,1
893.4898681640625,21.96099281311035,176.37786865234375,-0.002242234768345952,30,25.746722,92.111139,East Khasi Hills,0,Rainfall,1
885.6311645507812,21.460182189941406,146.14805603027344,0.0034072590060532093,10,25.747597,92.114167,East Khasi Hills,0,Rainfall,1
